CpGmarker,CoefficientTraining,CoefficientTrainingShrunk,varByCpG,minByCpG,maxByCpG,medianByCpG,medianByCpGYoung,medianByCpGOld,Gene_ID,GenomeBuild,Chr,MapInfo,SourceVersion,TSS_Coordinate,Gene_Strand,Symbol,Synonym,Accession,GID,Annotation,Product,Marginal Age Relationship,chr.coord_hg19,H3K27ac,H3K4me3,H3K36me3,H3K27me3,H3K9ac,H3K4me1,H3K9me3,RNF2,EZH2,RNA,Replication_timing,LaminB1,Gene_body,CGI,Shore,Shelf,ChrHMM_state,ChrHMM_state_reann
cg14408969,-0.140373287,NA,0.00014,0,0.35,0.049,0.05,0.048,114926,36,8,42515275,36.1,42515913,+,C8orf40,,NM_138436.2,GI:34147538,,hypothetical protein LOC114926,negative,chr8:42396118,-0.287936557652255,-0.151327947119939,-0.411002696785462,-0.657509428873718,0.475194266947822,0.176206309695809,-0.493484724215986,0.581959355147603,-0.289654808431195,0.353883281471604,75.6090621948242,0.138738861443564,Yes,No,Yes,No,3,Promoter
cg14409958,-0.050383781,NA,0.0068,0,0.77,0.11,0.12,0.1,5168,36,8,120720833,36.1,120720251,-,ENPP2,ATX; PDNP2; LysoPLD; PD-IALPHA;,NM_006209.2,GI:20070229,###############################################################################################################################################################################################################################################################,ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin),negative,chr8:120651652,-0.0925446388835778,-0.631194571877233,-0.438088405527606,-0.574310716221086,0.481412182310477,0.527904514848539,0.122922197675148,-0.120358134856617,-0.375152635828744,-0.367245580649547,49.1892505560135,-0.237926547188002,Yes,No,No,No,2,Promoter
cg14423778,-0.087120888,NA,0.029,0.054,0.96,0.33,0.34,0.3,4154,36,3,153468123,36.1,153468519,+,MBNL1,EXP; MBNL; EXP35; EXP40; EXP42; KIAA0428; DKFZp686P06174;,NM_021038.3,GI:46411162,###############################################################################################################################################################################################################################################################,muscleblind-like 1 isoform a,negative,chr3:151985433,0.0167337022053105,-0.904702604166918,-0.11242346058765,-0.673381409170661,-0.161091948115212,0.377769660747744,-0.516258032350476,-0.191772690161963,-0.238889925793827,0.226222120186955,80.7328321880236,-1.59413798540005,Yes,No,Yes,No,3,Promoter
cg14424579,3.067470269,3.026873503,0.00047,0,0.4,0.032,0.029,0.035,60509,36,2,27127813,36.1,27128053,+,FLJ21839,,NM_021831.3,GI:34147509,go_function: carboxypeptidase A activity; go_process: proteolysis and peptidolysis,hypothetical protein LOC60509,positive,chr2:27274309,0.337088194666979,0.653379482436784,-0.611156678596861,-0.657173109688644,0.106715576388906,-0.269680549575233,-0.0287658760281146,3.04083591393821,-0.0880332106774927,-0.327341173165814,77.9371265592123,4.45544048580775,Yes,Yes,Yes,No,1,Active TSS
cg14501253,-0.066922165,NA,0.00063,0,0.49,0.058,0.053,0.063,286032,36,8,12853385,36.1,12853236,+,FLJ36980,,NM_182598.1,GI:32699012,,hypothetical protein LOC286032,positive,chr8:12809014,-0.582118625828543,-0.320130890305296,-0.0480342927297848,1.71248105021388,-0.532901403399542,-0.0449641538180147,1.01049757032948,-0.202880562721842,0.243057269378156,-0.429456221072508,73.2421722412109,1.01862368674512,Yes,Yes,No,No,1,Active TSS
cg14597908,-0.030798249,NA,0.0065,0.022,0.91,0.43,0.44,0.42,2778,36,20,56848355,36.1,56848190,+,GNAS,XL; AHO; GSA; GSP; POH; XL2; GPSA; NESP; GNAS1; PHP1A; PHP1B; GNASXL; NESP55; C20orf45; MGC33735; XLalphas; dJ309F20.1.1; dJ806M20.3.3;,NM_000516.3,GI:18426896,###############################################################################################################################################################################################################################################################,guanine nucleotide binding protein; alpha stimulating activity polypeptide 1 isoform a,negative,chr20:57414960,-0.622478377134648,-0.77245989493252,-0.0894521120097974,0.762678761793272,-0.795429719136852,-0.27975396357815,1.08976920443306,-0.309727520149377,0.380424109232859,-0.439261680600165,66.8029937744141,1.71866083265252,Yes,No,Yes,No,24,Repressed polycomb
cg14654875,-0.122182935,-0.036208905,0.0057,0.015,0.89,0.43,0.44,0.43,146434,36,16,3433998,36.1,3433491,-,ZNF597,FLJ33071;,NM_152457.1,GI:22748966,go_component: nucleus; go_function: DNA binding; go_function: zinc ion binding; go_function: metal ion binding; go_process: transcription; go_process: regulation of transcription; DNA-dependent,zinc finger protein 597,negative,chr16:3493997,0.314270958013492,0.444801304387523,0.609512686146723,-0.159579103746248,0.0953529522708912,-0.164577924179979,1.49345396086271,-0.281316584525521,-0.429283760312185,-0.056854960240456,68.8000259399414,2.15154701666508,Yes,No,Yes,No,3,Promoter
cg14658362,-0.168603536,NA,0.00054,0,0.61,0.039,0.038,0.038,11030,36,8,30361203,36.1,30361486,+,RBPMS,HERMES;,NM_006867.2,GI:57164967,isoform A is encoded by transcript variant 4; go_function: RNA binding; go_function: nucleotide binding; go_function: protein binding; go_process: RNA processing,RNA-binding protein with multiple splicing isoform A,positive,chr8:30241661,-0.561831822787889,-0.631658295420481,0.4556169731056,3.06024314850263,-0.566181052350849,0.78164334484112,-0.626510449852942,-0.565273015029881,10.1673925975634,-0.439261680600165,79.8116575892727,1.85625040242143,No,Yes,No,No,1,Active TSS
cg14723032,0.000900283,NA,0.012,0.052,0.95,0.72,0.69,0.74,83394,36,17,6401296,36.1,6400601,-,PITPNM3,NIR1; RDGBA3;,NM_031220.1,GI:13654295,###############################################################################################################################################################################################################################################################,PITPNM family member 3,positive,chr17:6460572,-0.608248173056471,-0.710510261861132,-0.374045429183201,3.35042411691389,-0.891392856708862,-0.622592743241211,-0.00485653005822002,-0.609424043160942,-0.129235609427573,-0.439261680600165,55.2438776677386,1.59008048155746,No,No,Yes,No,24,Repressed polycomb
cg14727952,-0.136027886,NA,0.0025,0,0.83,0.065,0.071,0.061,329,36,11,101723568,36.1,101723176,+,BIRC2,API1; MIHB; HIAP2; RNF48; cIAP1; Hiap-2;,NM_001166.3,GI:41349435,###############################################################################################################################################################################################################################################################,baculoviral IAP repeat-containing protein 2,negative,chr11:102218358,3.11704767747023,0.429697844524969,-0.538760137625858,-0.568648449345786,2.33921558424298,1.16906143429762,0.234064816067349,-0.128482711661882,-0.0438794659611731,2.37863082207898,81.503439068497,1.63810683527882,Yes,No,Yes,No,3,Promoter
cg14894144,0.053377439,NA,0.013,0.017,0.93,0.35,0.32,0.37,3909,36,18,19524552,36.1,19523560,+,LAMA3,E170; LOCS; LAMNA; lama3a;,NM_000227.2,GI:38045907,###############################################################################################################################################################################################################################################################,laminin alpha 3 subunit isoform 2,positive,chr18:21270554,-0.805271212328035,-0.564407078916703,-0.138426841485095,1.60601987738956,-0.904848638111577,-0.722561183357249,0.704419040607276,0.437377830200618,0.35476456213927,-0.439261680600165,71.0489102028255,2.20916135335149,Yes,No,Yes,No,23,Bivalent promoter
cg14992253,0.035824163,NA,0.0016,0,0.5,0.072,0.067,0.078,56063,36,1,32460154,36.1,32460535,-,C1orf91,AASL548; PRO1105; FLJ90779; RP4-622L5; dJ622L5.7; RP4-622L5.3;,NM_019118.2,GI:21361813,synonyms: AASL548; PRO1105; FLJ90779; RP4-622L5; dJ622L5.7; RP4-622L5.3,hypothetical protein LOC56063,positive,chr1:32687567,-0.25309971593694,-0.0557468203852149,-0.261000238811388,-0.616129934417205,-0.0910195826659586,0.251792535344228,-0.814972138123323,-0.594538915654916,-0.15071201545233,-0.16926218653959,84.0684792383056,1.63777971410331,Yes,Yes,No,No,3,Promoter
cg15185286,-0.241642003,NA,0.00023,0,0.58,0.03,0.031,0.028,51390,36,6,143423368,36.1,143423716,+,AIG1,AIG-1; FLJ10485; dJ95L4.1; RP1-95L4.1; DKFZp686F03136;,NM_016108.2,GI:40316940,androgen induced protein; CGI-103 protein; androgen induced protein (AIG-1); C-terminus truncated; go_component: integral to membrane,androgen-induced 1,negative,chr6:143381675,1.10970710271813,1.29229655828871,-0.0643331471303677,-0.309022079316481,1.2215627667576,-0.00586930656424584,0.122700365560498,1.12218780803526,-0.579057394388983,-0.32198682778258,53.1938269750733,1.51184251656761,Yes,Yes,No,No,1,Active TSS
cg15262928,-0.078482669,NA,0.00019,0.013,0.41,0.044,0.044,0.044,10440,36,1,200191195,36.1,200191271,+,TIMM17A,TIM17; TIM17A;,NM_006335.1,GI:5454119,###############################################################################################################################################################################################################################################################,translocase of inner mitochondrial membrane 17 homolog A,negative,chr1:201924572,1.52214369112473,0.559646063297293,-0.569693398214995,-0.49744766444468,0.48507942613406,0.17430878772759,-0.362891368354821,0.22779473600468,-0.353490576050841,0.17994278105952,85.2259653904789,0.644709885720942,No,Yes,No,No,3,Promoter
cg15341340,-0.468757862,NA,0.0066,0.015,0.99,0.059,0.058,0.059,1777,36,19,12853237,36.1,12853335,-,DNASE2,DNL; DNL2; DNASE2A;,NM_001375.2,GI:58331228,###############################################################################################################################################################################################################################################################,deoxyribonuclease II; lysosomal precursor,positive,chr19:12992237,0.938978583160238,1.02677733675263,0.259976730345733,-0.479923457589604,0.87527865773714,0.278317947661257,0.557058408722526,0.196751050221817,-0.47680058176522,0.518853872455471,84.4015426635742,2.41720618390166,Yes,Yes,No,Yes,1,Active TSS
cg15381769,-0.119627233,NA,0.00079,0,0.68,0.032,0.03,0.04,5796,36,6,128883665,36.1,128883416,-,PTPRK,R-PTP-kappa; DKFZp686C2268;,NM_002844.2,GI:18860901,###############################################################################################################################################################################################################################################################,protein tyrosine phosphatase; receptor type; K precursor,positive,chr6:128841972,-0.426515852498048,-0.018365870681116,-0.369060123228123,1.26412302200062,0.130830859159659,-0.104284413887539,-0.214754885050838,-0.435965161415242,1.04648742058503,-0.439261680600165,65.6091766357422,3.07637688795325,No,Yes,No,No,1,Active TSS
cg15547534,0.382897521,0.137235675,0.0026,0,0.94,0.046,0.043,0.05,221908,36,7,99872346,36.1,99872030,-,MGC22793,,NM_145030.1,GI:21450760,,hypothetical protein LOC221908,positive,chr7:100034410,-0.00227509541163697,-0.478775820115491,-0.365432356905198,-0.78874984394269,-0.487935035815716,0.120536361897704,-0.629242594672296,0.0408872614418333,-0.398381028304666,-0.366063314480246,81.2833339282105,2.64697816127386,No,No,Yes,No,2,Promoter
cg15661409,0.043744933,0.008380636,0.025,0.031,1,0.84,0.84,0.85,55195,36,14,57030729,36.1,57030323,-,C14orf105,FLJ10650;,NM_018168.1,GI:8922570,synonym: FLJ10650,hypothetical protein LOC55195,positive,chr14:57960976,-0.936081281448312,-1.0234320446649,-0.560363912366582,-0.367216825079671,-0.942563439756545,-1.11910074526806,-0.0476228500633707,-0.89373877280593,-0.551590402612814,-0.380761958859885,28.9179134368896,0.00137688812590967,No,No,No,No,25,Quiescent/low
cg15703512,-0.730702811,NA,0.00044,0.018,0.26,0.061,0.063,0.06,255762,36,16,21920066,36.1,21919929,-,MGC50721,,NM_173806.2,GI:31341127,go_function: protein binding,hypothetical protein LOC255762,negative,chr16:22012565,-0.726727072862541,-0.618295273732586,-0.438788267626034,-0.27776878731445,-0.589956661791493,0.60790457393193,-0.290699318086234,0.253268154110669,-0.0110421637310868,-0.392487814557924,69.9300302519763,3.23703180152163,No,No,No,No,16,Weak enhancer
cg15804973,-0.108169109,NA,0.017,0,0.84,0.26,0.34,0.22,4217,36,6,137156206,36.1,137155349,-,MAP3K5,ASK1; MEKK5; MAPKKK5;,NM_005923.3,GI:21536459,###############################################################################################################################################################################################################################################################,mitogen-activated protein kinase kinase kinase 5,negative,chr6:137114513,-0.474393333376869,-0.920225244497677,-0.267852304258839,-0.720048997728945,-0.346012869465789,0.112205197613906,-0.566007262245446,0.204792179487031,-0.407962884571092,0.228918739518778,58.1489388425451,1.06651503906142,No,No,Yes,No,2,Promoter
cg15974053,-0.009486551,NA,0.0061,0,0.64,0.044,0.039,0.049,51171,36,19,54031601,36.1,54031746,-,DHRS10,retSDR3;,NM_016246.2,GI:59889577,retinal short-chain dehydrogenase/reductase 3; go_function: oxidoreductase activity; go_process: metabolism,dehydrogenase/reductase (SDR family) member 10,positive,chr19:49339789,-0.471275877313685,-0.572523736382053,-0.34187529096948,1.17636445863029,-0.321144440155476,1.34778796140089,-0.154532770031882,-0.422899454842193,-0.115710198649097,-0.40989114295842,82.6505813598633,1.44120998414097,Yes,No,Yes,No,2,Promoter
cg15988232,0.036324808,NA,0.014,0.025,0.95,0.44,0.38,0.48,10675,36,3,47596131,36.1,47595193,-,CSPG5,NGC; MGC44034;,NM_006574.2,GI:39753966,###############################################################################################################################################################################################################################################################,chondroitin sulfate proteoglycan 5 (neuroglycan C),positive,chr3:47621127,-0.887917133545449,-0.675731719962944,-0.172091029743285,2.13494307386948,-0.731031301300314,-0.481981544358309,0.462041797019744,-0.501529730447398,2.17451147392789,-0.398249033695123,77.9027938842773,1.95535552404089,Yes,Yes,No,No,24,Repressed polycomb
cg16034652,0.006495541,NA,0.015,0,0.99,0.47,0.47,0.46,57578,36,14,92868062,36.1,92869318,+,KIAA1409,FLJ43337;,NM_020818.2,GI:73808096,synonym: FLJ43337,hypothetical protein LOC57578,negative,chr14:93798309,-0.652000939215172,-0.730949539906726,-0.158574995200646,-0.505104781050765,-0.480017536611297,-0.0382072027393629,-0.604563687610691,-0.228629502444848,-0.285668685273348,-0.215339166991342,45.8462011855737,-0.370149352088083,Yes,No,Yes,No,9,Transcribed/regulatory
cg16150435,0.017495382,NA,0.0035,0.062,0.96,0.79,0.78,0.78,29113,36,6,31188508,36.1,31188311,-,C6orf15,STG;,NM_014070.1,GI:7662666,taste bud-specific protein precursor,STG protein,positive,chr6:31080529,-0.913558255297105,-0.58384296859189,-0.111753895209092,0.0647973139237571,-0.819447907558637,-0.774934612768483,0.584040462418453,-0.500824468346234,-0.104550699702424,-0.439261680600165,72.0062282876184,1.82153756432329,No,No,No,No,25,Quiescent/low
cg16168311,-0.196860712,NA,0.0036,0.0048,0.53,0.11,0.11,0.11,128240,36,1,154828571,36.1,154828194,+,APOA1BP,AIBP; MGC119143; MGC119145;,NM_144772.1,GI:21426826,apoA-I binding protein; go_function: molecular function unknown,apolipoprotein A-I binding protein,negative,chr1:156561947,0.390111989872774,0.505042939456896,-0.00533290059960054,-0.513761004484485,1.69595303018543,1.44909240022239,-0.28643044816912,0.191367649699021,-0.0928279152488117,0.370499404329462,84.3008193969727,3.44789368649874,Yes,No,Yes,No,3,Promoter
cg16241714,2.551903028,3.297841715,0.00019,0,0.15,0.014,0.013,0.013,1052,36,8,48813064,36.1,48813323,-,CEBPD,CELF; CRP3; C/EBP-delta; NF-IL6-beta;,NM_005195.2,GI:28872797,go_component: nucleus; go_function: DNA binding; go_process: transcription; go_process: regulation of transcription; DNA-dependent; go_process: transcription from RNA polymerase II promoter,CCAAT/enhancer binding protein delta,positive,chr8:48650511,0.703473014091764,0.830615181725703,0.737697077723042,0.000105556962746824,2.02790161228155,0.141711682679571,0.202532104596663,-0.0530431250568468,-0.382126527091971,3.76538416193042,63.7355748887669,0.420590413734317,Yes,Yes,No,No,1,Active TSS
cg16358826,-0.012966376,NA,0.00099,0.039,0.78,0.12,0.12,0.12,2557,36,4,46691021,36.1,46690337,-,GABRA4,,NM_000809.2,GI:34452722,###############################################################################################################################################################################################################################################################,gamma-aminobutyric acid A receptor; alpha 4 precursor,negative,chr4:46996264,-0.738914885887211,-0.133141175554346,-0.471960882254052,0.916339524690484,-0.752935731269572,-0.13906402621371,-0.353169730120801,-1.06805296727697,-0.148278436979431,-0.439261680600165,67.0374221801758,1.58673045977537,Yes,No,Yes,No,23,Bivalent promoter
cg16408394,-1.719195146,NA,0.0053,0,0.97,0.032,0.033,0.032,6256,36,9,136358896,36.1,136358231,+,RXRA,NR2B1;,NM_002957.3,GI:21536318,###############################################################################################################################################################################################################################################################,retinoid X receptor; alpha,negative,chr9:137219075,0.522814336471516,0.824058247982836,-0.345716506743719,0.174335249461921,0.897611189407841,0.459667297062582,0.00582110410796336,0.41931208575365,0.802116124066648,-0.0774627230130809,76.8960723876953,3.12650582111753,Yes,No,Yes,No,3,Promoter
cg16419345,0.282563693,NA,0.0021,0,0.95,0.052,0.055,0.049,51,36,17,71487684,36.1,71487020,-,ACOX1,ACOX; MGC1198; PALMCOX;,NM_004035.4,GI:34304338,###############################################################################################################################################################################################################################################################,acyl-Coenzyme A oxidase isoform a,negative,chr17:73976089,2.44107670742738,0.460248523910792,-0.138950744023081,-0.631673597907232,0.485208848873415,0.948967080268904,-0.304221046466512,-0.205700320977365,-0.174317755374483,-0.307568188673901,83.1089859008789,2.7141116369206,Yes,No,Yes,No,3,Promoter
cg16494477,-0.066439934,NA,0.00052,0.012,0.27,0.074,0.069,0.078,8817,36,5,170779856,36.1,170779272,+,FGF18,ZFGF5; FGF-18;,NM_033649.1,GI:16306545,go_component: extracellular space; go_function: growth factor activity; go_process: morphogenesis; go_process: cell-cell signaling; go_process: signal transduction; go_process: positive regulation of cell proliferation,fibroblast growth factor 18 precursor,positive,chr5:170847251,-0.758377464946575,0.294744618253502,0.208101371962886,0.953529652545635,-0.544674232182422,0.388687977065451,0.412898526103151,-0.919668338698948,2.1152342194497,-0.395279525922037,60.9095840454102,2.04399103264064,Yes,Yes,No,No,23,Bivalent promoter
cg16547529,0.167493846,0.093427143,0.014,0.0039,0.97,0.52,0.48,0.56,283212,36,11,74818329,36.1,74818755,-,FLJ33790,,NM_173583.1,GI:27734800,,hypothetical protein LOC283212,positive,chr11:75140681,-0.749899769199314,-1.0111465242819,0.398523344654492,2.08442119511634,-0.885808426524513,-0.400574227877546,6.05977352688853,-1.14324199193404,0.895428485212055,-0.403319001792731,79.9827855935418,1.43240351310605,Yes,No,Yes,No,23,Bivalent promoter
cg16579101,-0.096067716,NA,0.0024,0,0.91,0.057,0.052,0.057,4839,36,12,6547419,36.1,6547741,-,NOL1,p120; NSUN1; NOP120;,NM_006170.2,GI:76150622,###############################################################################################################################################################################################################################################################,nucleolar protein 1; 120kDa,positive,chr12:6677158,1.43402145375432,1.2337988077304,0.499753568982428,-0.563988097588095,0.759792974073802,0.243870329761699,0.220702710285098,0.27789250184553,-0.592994023831999,0.104329693176093,83.1329650878906,3.3793932657398,Yes,Yes,No,No,3,Promoter
cg16744741,-0.3462842,-0.497488212,0.052,0.053,0.96,0.52,0.64,0.38,5593,36,4,82345049,36.1,82345239,-,PRKG2,cGKII; PRKGR2;,NM_006259.1,GI:5453977,###############################################################################################################################################################################################################################################################,protein kinase; cGMP-dependent; type II,negative,chr4:82126025,-0.782345457484826,-0.0224385210875934,-0.0108625595401348,0.398868163939827,-0.964439466708582,-0.701330266790762,1.21652416625357,-0.984791498013265,-0.604463220696711,-0.439261680600165,50.111328125,2.48960575619032,Yes,No,No,No,25,Quiescent/low
cg16899442,-0.153803786,NA,0.0052,0.021,0.51,0.16,0.19,0.15,124093,36,16,716459,36.1,716460,-,C16orf25,JFP10; FLJ34512;,NM_173476.2,GI:40255165,isoform 2 is encoded by transcript variant 2,hypothetical protein LOC124093 isoform 2,negative,chr16:776458,-0.464047553427762,-0.361972861967952,-0.429736324452826,0.0893854351306139,-0.620450768624896,-0.394909134229726,0.186966627038437,-0.47135450973492,0.603194548764072,-0.332525440331317,82.0216600223075,2.52133110308227,Yes,No,Yes,No,23,Bivalent promoter
cg16984944,-5.94e-06,NA,0.0034,0,0.46,0.1,0.1,0.1,55773,36,3,101462115,36.1,101462546,+,TBC1D23,NS4ATP1; FLJ11046; DKFZp667G062;,NM_018309.1,GI:8922841,HCV nonstructural protein 4A-transactivated protein 1,hypothetical protein LOC55773,negative,chr3:99979425,0.0199730955013734,-0.401528466388173,-0.228387064215291,-0.445325262937928,-0.0946731499667957,-0.0536970949821434,-0.540372329941383,0.726929168283756,-0.546299679035692,-0.36950827113988,80.1926341258974,-1.56602565407453,No,No,Yes,No,2,Promoter
cg17063929,-0.001985558,NA,0.024,0.014,0.89,0.14,0.1,0.15,50507,36,11,88864447,36.1,88864301,-,NOX4,KOX; KOX-1; RENOX;,NM_016931.2,GI:20149638,go_component: membrane; go_function: nucleotide binding; go_function: oxidoreductase activity; go_function: electron transporter activity; go_process: electron transport,NADPH oxidase 4,positive,chr11:89224799,-0.816948461167752,-0.337291405571407,0.104887377027522,1.55839638394342,-1.01102369607424,-0.808358281353096,2.08651934595323,-1.00506561072831,1.04249196695952,-0.439261680600165,42.7747039794922,1.34241621169996,Yes,No,Yes,No,23,Bivalent promoter
cg17099569,0.115572976,NA,0.031,0,1,0.66,0.65,0.65,2736,36,2,121266336,36.1,121266329,+,GLI2,THP2;,NM_005270.2,GI:13518226,###############################################################################################################################################################################################################################################################,GLI-Kruppel family member GLI2 isoform delta,positive,chr2:121549866,-0.772735261111383,-0.759653382398955,-0.484262046558113,-0.172601355720564,-0.807714250065949,-1.04707756247386,-0.141479900962569,-0.469345039376288,-0.647409603739383,-0.439261680600165,79.6421127319336,0.204904392173969,Yes,No,No,No,25,Quiescent/low
cg17274064,-0.000157189,NA,0.0092,0.014,0.64,0.16,0.19,0.15,2078,36,21,38955762,36.1,38955488,-,ERG,p55; erg-3;,NM_004449.3,GI:46255021,###############################################################################################################################################################################################################################################################,v-ets erythroblastosis virus E26 oncogene like isoform 2,negative,chr21:40033892,-0.762648344869987,-0.988548852864249,-0.0494652008848186,0.116102934686554,-0.71732355572779,-0.501227653746434,-0.168199015696037,-0.600429875061888,0.119793038531082,-0.380024367076427,67.1256103515625,0.239047237997992,No,No,Yes,No,23,Bivalent promoter
cg17285325,0.137315506,NA,0.0017,0,0.86,0.04,0.04,0.04,1890,36,22,49315209,36.1,49315321,-,ECGF1,TP; MNGIE; PDECGF; hPD-ECGF;,NM_001953.2,GI:7669488,###############################################################################################################################################################################################################################################################,endothelial cell growth factor 1 (platelet-derived),positive,chr22:50968343,0.899935472749383,0.471484578560053,0.292098294751563,-0.484309256209155,0.685460221528905,0.689770554993157,-0.148121071600368,-1.2924923570463,-0.605372473319972,3.35431808354359,80.6040122396036,2.62409379920671,Yes,Yes,No,No,23,Bivalent promoter
cg17324128,-0.569717328,-0.851186251,0.0065,0.0097,0.83,0.14,0.18,0.12,83937,36,10,44775506,36.1,44775225,+,RASSF4,AD037; MGC44914;,NM_032023.3,GI:30474868,isoform a is encoded by transcript variant 1; tumor suppressor RASSF4; go_function: protein binding; go_function: oxidoreductase activity; go_process: signal transduction,Ras association domain family 4 isoform a,negative,chr10:45455500,-0.30491443210385,1.10679771376942,0.243242673322838,-0.404061542475291,0.667774928649077,1.60538060771857,-0.0334456045270199,0.124724847304158,-0.460766058100804,-0.233000653718202,58.9142754571396,2.09519967609449,Yes,No,Yes,No,3,Promoter
cg17338403,-0.645058713,-0.009380072,0.0075,0.0042,0.99,0.11,0.1,0.11,28232,36,15,90196840,36.1,90197950,+,SLCO3A1,OATP-D; OATP3A1; SLC21A11;,NM_013272.2,GI:7706713,solute carrier family 21 (organic anion transporter); member 11; go_component: membrane; go_component: integral to membrane; go_function: transporter activity; go_process: ion transport,solute carrier organic anion transporter family; member 3A1,negative,chr15:92395836,0.0251014717039515,-0.416856160111865,-0.11795365457029,-0.297819049928827,0.582706265256231,0.44320595674011,-0.196215921012137,-0.357845654187787,0.0268106680276342,-0.163833667681127,28.3511333465576,0.458287314481339,No,No,Yes,No,2,Promoter
cg17408647,-0.094843228,NA,0.00087,0.01,0.96,0.041,0.04,0.041,55744,36,7,43735574,36.1,43735634,-,FLJ10803,,NM_018224.1,GI:8922676,,hypothetical protein LOC55744,positive,chr7:43769049,0.531615108778235,1.94674212896038,0.664088735344678,-0.436461171357343,0.876246816691442,-0.178814652289316,-0.223270173197422,0.976836909751142,-0.283632222258768,0.502347596099474,67.9782943725586,2.74872249036427,Yes,Yes,No,No,3,Promoter
cg17589341,-0.065957735,NA,0.019,0.02,0.91,0.46,0.51,0.44,6563,36,18,41558077,36.1,41558155,+,SLC14A1,JK; UT1; UTE; HUT11; RACH1; UT-B1; HsT1341;,NM_015865.1,GI:7706676,###############################################################################################################################################################################################################################################################,RACH1,negative,chr18:43304079,-0.655662896512273,-0.859541794516605,1.6664430577536,-0.263643595548518,-0.646960809445328,-0.374153881635171,0.461787901961029,-0.265132771862851,-0.292231222524522,-0.364575009440636,84.3160629272461,0.771608711339965,Yes,No,No,No,16,Weak enhancer
cg17655614,0.156624167,NA,0.01,0.02,0.9,0.3,0.27,0.33,999,36,16,67328445,36.1,67328696,+,CDH1,UVO; CDHE; ECAD; LCAM; Arc-1; CD324;,NM_004360.2,GI:14589887,###############################################################################################################################################################################################################################################################,cadherin 1; type 1 preproprotein,positive,chr16:68770944,-0.782645369347943,-0.75526907984678,-0.0791768478976721,2.02906485102823,-0.78522541686405,-0.0042165715140865,1.72326702770515,-0.979032899744217,2.97703316128368,-0.419739589678116,59.6993980407715,1.11162144283504,No,No,Yes,No,24,Repressed polycomb
cg17686885,-0.057992142,NA,0.0026,0.02,0.94,0.13,0.14,0.13,10040,36,17,50332768,36.1,50333203,+,TOM1L1,SRCASM;,NM_005486.1,GI:4885638,###############################################################################################################################################################################################################################################################,target of myb1-like 1,negative,chr17:52977769,-0.541434492867792,-0.58426546951131,-0.0189067812138916,1.35303227842755,-0.395077009692673,-0.151892381213989,0.491869663366635,0.394035236386319,-0.20013619179971,-0.412431969506814,25.2052097320557,2.00423352198877,Yes,No,Yes,No,2,Promoter
cg17729667,0.146830197,NA,0.0022,0.013,0.65,0.094,0.07,0.12,22981,36,20,25514382,36.1,25514153,-,KIAA0980,NLP; FLJ11792; dJ691N24.1;,NM_025176.4,GI:55749677,go_function: calcium ion binding,hypothetical protein LOC22981,positive,chr20:25566382,-0.444833625558843,-0.294448756957132,0.662577110296887,0.378909834648739,-0.499432552929989,-0.0233753776561914,-0.110817638717086,-0.341343820139213,0.273589706697903,-0.439261680600165,69.2866984531469,1.32817515490638,No,Yes,No,No,22,Poised promoter
cg17853587,-0.022992725,NA,0.00058,0,0.38,0.062,0.06,0.064,9348,36,4,119173834,36.1,119174948,+,NDST3,,NM_004784.1,GI:4758765,go_function: transferase activity; go_function: sulfotransferase activity; go_process: protein amino acid sulfation; go_process: protein amino acid deacetylation,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3,positive,chr4:118954386,-0.731836605423397,-0.954494042104788,0.231804051798672,1.74918619164669,-0.794212737463148,-0.371738667900739,1.4645446231401,-0.804253752385436,0.328960045322598,-0.439261680600165,43.387118779513,1.40503982933102,No,No,Yes,No,23,Bivalent promoter
cg17960516,0.066620539,NA,0.0023,0.012,0.62,0.066,0.067,0.065,285489,36,4,3434802,36.1,3434836,+,FLJ33718,FLJ90556;,NM_173660.2,GI:31542769,synonym: FLJ90556,hypothetical protein LOC285489,positive,chr4:3465004,-0.447549996389083,-0.631733370654268,-0.0591043180914396,0.409782354053531,-0.869402866148375,-0.412192576056434,-0.399606068052735,-1.103897149138,0.276140288748445,-0.439261680600165,72.9846649169922,1.16719157134255,No,Yes,No,No,24,Repressed polycomb
cg18031008,0.264553633,NA,0.0056,0,0.98,0.048,0.057,0.043,54460,36,1,148532935,36.1,148532893,+,MRPS21,MDS016; RPMS21; MRP-S21;,NM_018997.1,GI:16950592,mitochondrial 28S ribosomal protein S21; go_component: ribosome; go_component: mitochondrion; go_component: mitochondrial small ribosomal subunit; go_function: structural constituent of ribosome; go_process: protein biosynthesis,mitochondrial ribosomal protein S21,negative,chr1:150266311,0.577270259950331,0.923428474044925,-0.297118497088574,-0.657960369318407,0.500270828130203,0.91689519708946,0.943252451560156,0.254267679691198,0.199489179845573,0.841562335671917,79.9818137304444,1.8251224529533,Yes,No,Yes,No,3,Promoter
